id,machine,label,jig,vtg,crt,gas,,,starttime,,
248994827,TM-PE NO.1 R1,1,1,13.3,173.7,0,0,0,2023-05-03-8:14:57.370,,
248994841,TM-PE NO.1 R1,1,1,13.2,175.4,0,0,0,2023-05-03-8:14:57.943,,
248994870,TM-PE NO.1 R1,1,1,13.2,175.4,0,0,0,2023-05-03-8:14:59.003,,
248994885,TM-PE NO.1 R1,1,1,13.2,175.4,0,0,0,2023-05-03-8:14:59.547,,
248994899,TM-PE NO.1 R1,0,1,13.2,175.4,0,0,0,2023-05-03-8:15:00.110,,
248995804,TM-PE NO.1 R1,0,1,15.7,168.3,0,0,0,2023-05-03-8:15:47.140,,
248995816,TM-PE NO.1 R1,0,1,15.7,168.3,0,0,0,2023-05-03-8:15:47.690,,
248995830,TM-PE NO.1 R1,0,1,15.7,168.3,0,0,0,2023-05-03-8:15:48.230,,
248995844,TM-PE NO.1 R1,0,1,13.1,174.5,0,0,0,2023-05-03-8:15:48.770,13,
248995855,TM-PE NO.1 R1,0,1,13.1,175,0,0,0,2023-05-03-8:15:49.300,,
248995866,TM-PE NO.1 R1,0,1,13.5,174.1,0,0,0,2023-05-03-8:15:49.833,,
248995882,TM-PE NO.1 R1,0,1,13.5,174.1,0,0,0,2023-05-03-8:15:50.353,,
248995894,TM-PE NO.1 R1,0,1,13.5,174.1,0,0,0,2023-05-03-8:15:50.897,,
248996576,TM-PE NO.1 R1,0,1,13.1,175,0,0,0,2023-05-03-8:16:37.400,,
248996582,TM-PE NO.1 R1,0,1,13.2,174.1,0,0,0,2023-05-03-8:16:37.920,,
248996591,TM-PE NO.1 R1,0,1,13.3,171.6,0,0,0,2023-05-03-8:16:38.450,,
248996602,TM-PE NO.1 R1,0,1,13.1,175.4,0,0,0,2023-05-03-8:16:38.960,14,
248996613,TM-PE NO.1 R1,0,1,13.3,173.7,0,0,0,2023-05-03-8:16:39.983,,
248996616,TM-PE NO.1 R1,0,1,13.2,177,0,0,0,2023-05-03-8:16:40.003,,
248996623,TM-PE NO.1 R1,0,1,13.2,177,0,0,0,2023-05-03-8:16:40.553,,
248996633,TM-PE NO.1 R1,0,1,13.2,177,0,0,0,2023-05-03-8:16:41.073,,
248997485,TM-PE NO.1 R1,1,1,13.4,177.5,0,0,0,2023-05-03-8:17:28.427,,
248997494,TM-PE NO.1 R1,1,1,13.4,177.5,0,0,0,2023-05-03-8:17:28.957,,
248997499,TM-PE NO.1 R1,1,1,13.1,173.7,0,0,0,2023-05-03-8:17:28.980,,
248997508,TM-PE NO.1 R1,1,1,13.5,177,0,0,0,2023-05-03-8:17:29.537,15,
248997520,TM-PE NO.1 R1,1,1,13.1,175,0,0,0,2023-05-03-8:17:30.080,,
248997532,TM-PE NO.1 R1,1,1,13.5,174.1,0,0,0,2023-05-03-8:17:30.630,,
248997548,TM-PE NO.1 R1,1,1,13.1,161.6,0,0,0,2023-05-03-8:17:31.173,,
248997559,TM-PE NO.1 R1,1,1,13.1,161.6,0,0,0,2023-05-03-8:17:31.713,,
248997571,TM-PE NO.1 R1,1,1,13.1,161.6,0,0,0,2023-05-03-8:17:32.260,,
248998476,TM-PE NO.1 R1,0,1,13.4,173.7,0,0,0,2023-05-03-8:18:17.077,,
248998483,TM-PE NO.1 R1,0,1,13.4,173.7,0,0,0,2023-05-03-8:18:17.620,,
248998493,TM-PE NO.1 R1,0,1,13.4,173.7,0,0,0,2023-05-03-8:18:18.150,16,
248998500,TM-PE NO.1 R1,0,1,13.3,173.3,0,0,0,2023-05-03-8:18:18.663,,
248998510,TM-PE NO.1 R1,0,1,13.2,177,0,0,0,2023-05-03-8:18:19.210,,
248998517,TM-PE NO.1 R1,0,1,13.3,175,0,0,0,2023-05-03-8:18:19.733,,
248998523,TM-PE NO.1 R1,0,1,13.3,173.3,0,0,0,2023-05-03-8:18:20.263,,
248999284,TM-PE NO.1 R1,1,1,13.6,177.5,0,0,0,2023-05-03-8:19:06.607,,
248999290,TM-PE NO.1 R1,1,1,13.6,177.5,0,0,0,2023-05-03-8:19:07.127,,
248999299,TM-PE NO.1 R1,1,1,13.3,173.7,0,0,0,2023-05-03-8:19:07.660,,
248999310,TM-PE NO.1 R1,1,1,13.2,173.7,0,0,0,2023-05-03-8:19:08.190,17,
248999320,TM-PE NO.1 R1,1,1,13.1,175.4,0,0,0,2023-05-03-8:19:08.723,,
248999327,TM-PE NO.1 R1,1,1,13.1,177.5,0,0,0,2023-05-03-8:19:09.243,,
248999339,TM-PE NO.1 R1,1,1,13.1,123.7,0,0,0,2023-05-03-8:19:09.787,,
248999967,TM-PE NO.1 R1,0,1,13.5,173.7,0,0,0,2023-05-03-8:19:59.000,,
248999973,TM-PE NO.1 R1,0,1,13.5,173.7,0,0,0,2023-05-03-8:19:59.513,,
248999983,TM-PE NO.1 R1,0,1,13.4,173.7,0,0,0,2023-05-03-8:20:00.033,,
248999990,TM-PE NO.1 R1,0,1,13.2,174.5,0,0,0,2023-05-03-8:20:00.560,18,
248999998,TM-PE NO.1 R1,0,1,13.5,174.1,0,0,0,2023-05-03-8:20:01.100,,
249000003,TM-PE NO.1 R1,0,1,12.9,176.2,0,0,0,2023-05-03-8:20:01.623,,
249000008,TM-PE NO.1 R1,0,1,13.1,173.3,0,0,0,2023-05-03-8:20:02.153,,
249000690,TM-PE NO.1 R1,0,1,13.2,173.3,0,0,0,2023-05-03-8:20:50.843,,
249000697,TM-PE NO.1 R1,0,1,13.1,176.2,0,0,0,2023-05-03-8:20:51.357,,
249000707,TM-PE NO.1 R1,0,1,13.2,175.4,0,0,0,2023-05-03-8:20:51.893,,
249000716,TM-PE NO.1 R1,0,1,13,173.3,0,0,0,2023-05-03-8:20:52.410,19,
249000721,TM-PE NO.1 R1,0,1,13.2,176.6,0,0,0,2023-05-03-8:20:52.923,,
249000725,TM-PE NO.1 R1,0,1,13.1,173.3,0,0,0,2023-05-03-8:20:53.450,,
249000732,TM-PE NO.1 R1,0,1,13.1,135,0,0,0,2023-05-03-8:20:53.980,,
249001529,TM-PE NO.1 R1,1,1,13.1,178.3,0,0,0,2023-05-03-8:21:41.170,,
249001533,TM-PE NO.1 R1,1,1,13.1,174.5,0,0,0,2023-05-03-8:21:41.700,,
249001537,TM-PE NO.1 R1,1,1,13.2,174.1,0,0,0,2023-05-03-8:21:42.230,,
249001541,TM-PE NO.1 R1,1,1,13.3,177.5,0,0,0,2023-05-03-8:21:42.760,20,
249001546,TM-PE NO.1 R1,1,1,13.1,173.3,0,0,0,2023-05-03-8:21:43.287,,
249001550,TM-PE NO.1 R1,1,1,13.5,176.2,0,0,0,2023-05-03-8:21:43.813,,
249001554,TM-PE NO.1 R1,1,1,13.1,131.6,0,0,0,2023-05-03-8:21:44.337,,
249001959,TM-PE NO.1 R1,1,1,13.3,173.7,0,0,0,2023-05-03-8:22:30.690,,
249001969,TM-PE NO.1 R1,1,1,13.3,173.7,0,0,0,2023-05-03-8:22:31.223,21,
249001983,TM-PE NO.1 R1,1,1,13.1,173.3,0,0,0,2023-05-03-8:22:31.820,,
249001993,TM-PE NO.1 R1,1,1,13,174.1,0,0,0,2023-05-03-8:22:32.427,,
249002000,TM-PE NO.1 R1,1,1,13.1,176.2,0,0,0,2023-05-03-8:22:33.100,,
249002700,TM-PE NO.1 R1,1,1,14.3,172.5,0,0,0,2023-05-03-8:23:24.120,,
249002705,TM-PE NO.1 R1,1,1,14.3,172.5,0,0,0,2023-05-03-8:23:24.643,,
249002710,TM-PE NO.1 R1,1,1,14.3,172.5,0,0,0,2023-05-03-8:23:25.180,,
249002715,TM-PE NO.1 R1,1,1,13.5,175.8,0,0,0,2023-05-03-8:23:25.703,,
249002720,TM-PE NO.1 R1,1,1,13.4,175,0,0,0,2023-05-03-8:23:26.237,22,
249002725,TM-PE NO.1 R1,1,1,13.4,175.4,0,0,0,2023-05-03-8:23:26.780,,
249002730,TM-PE NO.1 R1,1,1,13.3,174.1,0,0,0,2023-05-03-8:23:27.310,,
249002734,TM-PE NO.1 R1,1,1,13.3,174.1,0,0,0,2023-05-03-8:23:27.820,,
249003122,TM-PE NO.1 R1,1,1,13.1,176.2,0,0,0,2023-05-03-8:24:16.020,,
249003127,TM-PE NO.1 R1,1,1,13.2,177,0,0,0,2023-05-03-8:24:16.550,,
249003132,TM-PE NO.1 R1,1,1,13.1,174.1,0,0,0,2023-05-03-8:24:17.080,,
249003139,TM-PE NO.1 R1,1,1,13.5,174.1,0,0,0,2023-05-03-8:24:17.610,,
249003145,TM-PE NO.1 R1,1,1,13.3,173.7,0,0,0,2023-05-03-8:24:18.147,23,
249003150,TM-PE NO.1 R1,1,1,13.2,175.4,0,0,0,2023-05-03-8:24:18.677,,
249003154,TM-PE NO.1 R1,1,1,13,122.9,0,0,0,2023-05-03-8:24:19.190,,
249003535,TM-PE NO.1 R1,0,1,13.5,174.5,0,0,0,2023-05-03-8:25:05.873,,
249003544,TM-PE NO.1 R1,0,1,13.5,174.5,0,0,0,2023-05-03-8:25:06.387,,
249003550,TM-PE NO.1 R1,0,1,13,176.2,0,0,0,2023-05-03-8:25:06.913,,
249003555,TM-PE NO.1 R1,0,1,13,171.2,0,0,0,2023-05-03-8:25:07.433,,
